DMI554001,Firstaid,Normal
DMI554002,Firstaid,Normal
DMI554003,Firstaid,BPlow
DMI554004,Firstaid,Normal
DMI554005,Firstaid,Normal
DMI554006,Antibiotic,Pain
DMI554007,Antibiotic,Pain
DMI554008,Antibiotic,Pain
DMI554009,Firstaid,Normal
DMI554010,Firstaid,Normal
DMI554011,Firstaid,Normal
DMI554012,Firstaid,Normal
DMI554013,Firstaid,Normal
DMI554014,Firstaid,BPlow
DMI554015,Firstaid,BPlow
DMI554016,Firstaid,BPlow
DMI554017,Firstaid,BPlow
DMI554018,Firstaid,BPlow
DMI554019,Firstaid,Normal
DMI554020,Firstaid,Normal
DMI554021,Firstaid,Normal
DMI554022,Antibiotic,Pain
DMI554023,Antibiotic,Pain
DMI554024,Firstaid,Normal
DMI554025,Firstaid,Normal
DMI554026,Firstaid,Normal
DMI554027,Firstaid,Normal
DMI554028,Firstaid,Normal
DMI554029,Antibiotic,Pain
DMI554030,Firstaid,Normal
DMI554031,Firstaid,Normal
DMI554032,Firstaid,Normal
DMI554033,Firstaid,Normal
DMI554034,Firstaid,Normal
DMI554035,Antibiotic,Pain
DMI554036,Antibiotic,Pain
DMI554037,Antibiotic,Pain
DMI554038,Firstaid,Normal
DMI554039,Firstaid,Normal
DMI554040,Firstaid,Normal
DMI554041,Firstaid,Normal
DMI554042,Firstaid,Normal
DMI554043,Firstaid,Normal
DMI554044,Firstaid,Normal
DMI554045,Firstaid,Normal
DMI554046,Firstaid,Normal
DMI554047,Firstaid,Normal
DMI554048,Firstaid,Normal
DMI554049,Firstaid,BPlow
DMI554050,Firstaid,Normal
DMI554051,Firstaid,Normal
DMI554052,Firstaid,Normal
DMI554053,Firstaid,Normal
DMI554054,Firstaid,Normal
DMI554055,Firstaid,Normal
DMI554056,Firstaid,Normal
DMI554057,Firstaid,Normal
DMI554058,Firstaid,BPlow
DMI554059,Firstaid,Normal
DMI554060,Firstaid,Normal
DMI554061,Firstaid,Normal
DMI554062,Firstaid,Normal
DMI554063,Firstaid,Normal
DMI554064,Firstaid,Normal
DMI554065,Firstaid,Normal
DMI554066,Firstaid,Normal
DMI554067,Firstaid,BPlow
DMI554068,Firstaid,Normal
DMI554069,Firstaid,Normal
DMI554070,Firstaid,Normal
DMI554071,Firstaid,Normal
DMI554072,Firstaid,Normal
DMI554073,Firstaid,BPlow
DMI554074,Firstaid,Normal
DMI554075,Firstaid,Normal
DMI554076,Firstaid,Normal
DMI554077,Firstaid,Normal
DMI554078,Firstaid,Normal
DMI554079,Firstaid,Normal
DMI554080,Firstaid,Normal
DMI554081,Firstaid,Normal
DMI554082,Firstaid,Normal
DMI554083,Firstaid,BPlow
DMI554084,Firstaid,Normal
DMI554085,Firstaid,Normal
DMI554086,Firstaid,Normal
DMI554087,Firstaid,Normal
DMI554088,Firstaid,Normal
DMI554089,Firstaid,Normal
DMI554090,Firstaid,Normal
DMI554091,Firstaid,Normal
DMI554092,Firstaid,Normal
DMI554093,Firstaid,Normal
DMI554094,Firstaid,Normal
DMI554095,Firstaid,Normal
DMI554096,Firstaid,Normal
DMI554097,Firstaid,Normal
DMI554098,Firstaid,Normal
DMI554099,Firstaid,Normal
DMI554100,Firstaid,Normal
DMI554101,Firstaid,BPlow
DMI554102,Firstaid,Normal
DMI554103,Firstaid,Normal
DMI554104,Firstaid,Normal
DMI554105,Firstaid,Normal
DMI554106,Firstaid,Normal
DMI554107,Firstaid,Normal
DMI554108,Firstaid,Normal
DMI554109,Firstaid,Normal
DMI554110,Firstaid,Normal
